audio_id,caption,jh,mark,,remove
people_marching_01_01,people marching.,jh,?,,1
people_marching_02_01,The sound of people marching.,jh,?,,1
people_marching_03_01,An audio clip of people marching.,jh,?,,1
waterfall_burbling_01_01,waterfall burbling.,jh,1,,0
waterfall_burbling_02_01,The sound of waterfall burbling.,jh,1,,0
waterfall_burbling_03_01,An audio clip of waterfall burbling.,jh,1,,0
playing_tennis_01_01,playing tennis.,jh,1,similar to other sports,0
playing_tennis_02_01,The sound of playing tennis.,jh,1,,0
playing_tennis_03_01,An audio clip of playing tennis.,jh,1,,0
people_belly_laughing_01_01,people belly laughing.,jh,1,,0
people_belly_laughing_02_01,The sound of people belly laughing.,jh,1,,0
people_belly_laughing_03_01,An audio clip of people belly laughing.,jh,1,,0
car_engine_starting_01_01,car engine starting.,jh,1,,0
car_engine_starting_02_01,The sound of car engine starting.,jh,1,,0
car_engine_starting_03_01,An audio clip of car engine starting.,jh,1,,0
alarm_clock_ringing_01_01,alarm clock ringing.,jh,1,,0
alarm_clock_ringing_02_01,The sound of alarm clock ringing.,jh,1,,0
alarm_clock_ringing_03_01,An audio clip of alarm clock ringing.,jh,1,,0
female_speech_woman_speaking_01_01,"female speech, woman speaking.",jh,1,,0
female_speech_woman_speaking_02_01,"The sound of female speech, woman speaking.",jh,1,,0
female_speech_woman_speaking_03_01,"An audio clip of female speech, woman speaking.",jh,1,,0
cricket_chirping_01_01,cricket chirping.,jh,1,,0
cricket_chirping_02_01,The sound of cricket chirping.,jh,1,,0
cricket_chirping_03_01,An audio clip of cricket chirping.,jh,1,,0
wind_noise_01_01,wind noise.,jh,?,,0
wind_noise_02_01,The sound of wind noise.,jh,?,,0
wind_noise_03_01,An audio clip of wind noise.,jh,?,,0
foghorn_01_01,foghorn.,jh,1,,0
foghorn_02_01,The sound of foghorn.,jh,1,,0
foghorn_03_01,An audio clip of foghorn.,jh,1,,0
people_battle_cry_01_01,people battle cry.,jh,1,,0
people_battle_cry_02_01,The sound of people battle cry.,jh,1,,0
people_battle_cry_03_01,An audio clip of people battle cry.,jh,1,,0
playing_volleyball_01_01,playing volleyball.,jh,1,similar to other sports,0
playing_volleyball_02_01,The sound of playing volleyball.,jh,1,,0
playing_volleyball_03_01,An audio clip of playing volleyball.,jh,1,,0
